wallet,score,tx_count,unique_assets,total_amountUSD,avg_amountUSD,std_amountUSD,active_days,session_count,recent_tx_ratio,flash_like_score,graph_centrality,clique_score,num_deposit,num_borrow,num_repay,num_withdraw,num_liquidation,mean_tx_session,std_tx_session,time_decay_score,behavior_cluster,flag_suspicious,profile_tag
0x87279585d52f534a2d2e453518cd7890c5762d19,36.478050549492124,0.944677123566284,15.878398734487774,-0.007916162687127495,-0.02462728779015923,907.2670924310098,6.711735047321611,2.7032577103273505,-0.022027065928468672,105.45418021108964,15.878398734487773,0.0,48,0.0,0.0,0.0,0.0,0.10347835947347604,1.483640091525812,-0.006807914282652572,3,0,Normal
0x6fb737d1ebb73cda6cfa36fd16d9273065d1b084,36.47463025878097,2.4177611599209725,14.52729387698963,-0.007566841739987123,-0.02483388908188686,749.3218539705877,14.392458359166389,7.1292668196475155,-0.022027065928468672,160.41763628413662,14.527293876989628,0.0,119,0.0,0.0,0.0,0.0,0.027365604589662067,0.797827816918705,-0.006807914282593763,1,0,Normal
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,36.09886473018349,15.28131189991966,9.122874446997049,0.059674780426622186,-0.02062756188019866,28980.552707389565,45.28603434680872,38.80289450821994,-0.022027065928468672,1463203.8621754702,9.122874446997049,0.0,739,0.0,0.0,0.0,0.0,0.392229543631895,2.0366252845942383,-0.006807914283113659,1,1,Whale
0x32a59b87352e980dd6ab1baf462696d28e63525d,36.08914598576431,0.9239294610824151,15.878398734487774,0.009665479379654488,-0.005995258637211452,89922.51684789217,5.858321346005524,2.495788533327968,-0.022027065928468672,44448.00437127419,15.878398734487773,0.0,47,0.0,0.0,0.0,0.0,0.23802550626465793,1.6131715393628365,-0.00680791210874199,3,0,Whale
0xf52a01ba9a57a54f50bcd5ffc1924d897e47bc15,35.9198334196535,0.7786958236953332,15.878398734487774,-0.002842817858663222,-0.01819599795857311,20323.236789452665,5.175590384952654,2.0808501793292025,-0.022027065928468672,1000.0,15.878398734487773,0.0,40,0.0,0.0,0.0,0.0,0.26480430732503857,1.5804162969063802,0.08568810927169788,3,0,Normal
0x5fa07227d05774c2ff11c2425919d14225a38dbb,35.8853909746685,1.214396735856579,15.878398734487774,-0.00292972895282742,-0.02068448167096716,8479.596973828811,5.004907644689437,2.2883193563285853,10.180138498974198,3104.576936430403,15.878398734487773,0.0,61,0.0,0.0,0.0,0.0,1.2678616841867312,4.298415120655089,31.546526797193557,3,0,Normal
0x0006e4548aed4502ec8c844567840ce6ef1013f5,35.76626455587186,2.1687892101145465,14.52729387698963,0.011137102828937135,-0.016090049674647944,23843.290356131114,12.173582735744564,5.746138972984964,-0.022027065928468672,48316.47483637223,14.527293876989628,0.0,107,0.0,0.0,0.0,0.0,0.28276185627141154,1.728573074607151,-0.006807914288211207,1,0,Whale
0x0b498ff89709d3838a063f1dfa463091f9801c2b,35.752021051887226,12.58411577701671,-0.3348595554899675,0.3596225596628799,0.004867530724578508,83988.04676496123,98.02700108814285,41.08505545521315,-0.022027065928468672,640.0813190734,-0.3348595554899675,0.0,609,0.0,0.0,0.0,0.0,-0.19960120905096118,0.3901686682966643,-0.006339802698922786,1,0,Whale
0x8c1194174ab1cf585d5189e3a6aa52cc9bae78e4,35.72148745877686,21.422619995144842,10.473979304495195,0.34275929641276787,-0.008326659291655441,19946.96505835449,36.239849112858195,35.06844932223106,-0.022027065928468672,3538919.5917445305,10.473979304495193,0.0,1035,0.0,0.0,0.0,0.0,1.8591688773345476,3.6799877603802438,-0.006807914288208071,1,1,Whale
0xdf0635793e91d4f8e7426dbd9ed08471186f428d,35.29606495166494,5.3639292326303485,13.176189019491485,-0.008480110053685559,-0.025217281617275624,9.777815530965103,18.488844125483602,9.27311498197447,-0.022027065928468672,8.696563141399997,13.176189019491485,0.0,261,0.0,0.0,0.0,0.0,1.626585102424992,4.56178878508855,-0.006807914288206734,1,0,Normal
0x2d29da8a41acea411189ae98ed73c9503e0dd4c2,35.08700326143047,1.5671069980823498,14.52729387698963,-0.007774793029004305,-0.024764446675507236,1778.4493225040474,10.125389852585956,4.639636695654923,-0.022027065928468672,39.95787547672451,14.527293876989628,0.0,78,0.0,0.0,0.0,0.0,0.021466506385056323,1.0082905453941162,-0.006807912212306081,1,0,Normal
0x674be6fa9ce93405e824bbd2fa6afe27290ba3aa,34.803432998909784,6.567293656694742,11.82508416199334,0.0539052709273507,-0.015483357838590011,21095.905254710746,24.804105515222638,13.975749660627145,-0.022027065928468672,3431.2896318451935,11.82508416199334,0.0,319,0.0,0.0,0.0,0.0,0.9032949365294123,2.8278155293356035,-0.006807914288207473,1,0,Whale
0x5dca7bad26550b04a2d6911ba64bb7e7bdd67787,34.43270811613249,0.21850893663087437,15.878398734487774,-0.008485481541312047,-0.02521549216419545,8.304771743793252,-0.11557456320708069,-0.06299798299775247,-0.022027065928468672,35.07213990268,15.878398734487773,0.0,13,0.0,0.0,0.0,0.0,24.178273654245096,-0.15477071065969553,-0.006807914283819339,1,0,Normal
0xcd615848c10c89f6afcc3f353b2c0b690c535a27,34.0108713283674,1.1106584234372348,14.52729387698963,0.14619044043384857,0.1122623801517042,431869.55430761905,7.053100527848045,3.325665241325499,-0.022027065928468672,500000.0,14.527293876989628,0.0,56,0.0,0.0,0.0,0.0,0.00022975284847646135,0.9202186369482678,-0.006766124021492331,3,0,Whale
0x57ca561798413a20508b6bc997481e784f3e6e5f,33.13692965689823,4.658508708178808,11.82508416199334,3.3503709310544676,0.7112785434207967,1755149.3426173094,19.512940567062905,9.618896943640108,-0.022027065928468672,5405638.01050163,11.82508416199334,0.0,227,0.0,0.0,0.0,0.0,0.9973279647001362,3.257254910476347,-0.006807914288210409,1,1,Whale
0x57adad5729e839acd4019fc9e79c2685a42ed489,32.72197233933965,5.50916287001743,10.473979304495195,0.03908566960541634,-0.01638315499479887,17994.97157419915,26.16956743732838,15.635503076622207,-0.022027065928468672,14981.87593042732,10.473979304495193,0.0,268,0.0,0.0,0.0,0.0,0.1130577679828809,1.1140242380657,-0.006807914288211208,1,0,Whale
